epoch,loss,val_loss,accuracy,val_accuracy,recall,val_recall,auc,val_auc,phase
1,0.49162939190864563,0.21044886112213135,0.4503999948501587,0.6777777671813965,0.08079999685287476,0.20000000298023224,0.7663419246673584,0.9002314805984497,Phase 1
2,0.3638324439525604,0.19615359604358673,0.6791999936103821,0.6666666865348816,0.30399999022483826,0.31111112236976624,0.9080197811126709,0.9234105348587036,Phase 1
3,0.3193635642528534,0.19582897424697876,0.7608000040054321,0.7333333492279053,0.4424000084400177,0.4000000059604645,0.9436503648757935,0.92337965965271,Phase 1
4,0.2813057601451874,0.1927453577518463,0.8184000253677368,0.7111111283302307,0.525600016117096,0.4333333373069763,0.9693477153778076,0.9272530674934387,Phase 1
5,0.2685076594352722,0.19350172579288483,0.8399999737739563,0.6888889074325562,0.5935999751091003,0.4888888895511627,0.9760115146636963,0.9277932047843933,Phase 1
6,0.24620060622692108,0.19392786920070648,0.8935999870300293,0.699999988079071,0.6615999937057495,0.47777777910232544,0.9865044355392456,0.9249229431152344,Phase 1
7,0.23481516540050507,0.19335444271564484,0.9143999814987183,0.7333333492279053,0.7103999853134155,0.5111111402511597,0.990870475769043,0.9264196157455444,Phase 1
8,0.2311122864484787,0.19193723797798157,0.9175999760627747,0.6888889074325562,0.7319999933242798,0.5333333611488342,0.9917582869529724,0.9281172752380371,Phase 1
9,0.22315151989459991,0.19392509758472443,0.9312000274658203,0.7444444298744202,0.7455999851226807,0.5333333611488342,0.994399905204773,0.9240431785583496,Phase 1
10,0.21515585482120514,0.1927041858434677,0.9520000219345093,0.7222222089767456,0.8008000254631042,0.5,0.9957427382469177,0.9249537587165833,Phase 1
11,0.21183562278747559,0.1915374994277954,0.9584000110626221,0.7555555701255798,0.8055999875068665,0.5111111402511597,0.9965702891349792,0.9250771403312683,Phase 1
12,0.2082930952310562,0.19169119000434875,0.9552000164985657,0.7111111283302307,0.8144000172615051,0.5444444417953491,0.9975715279579163,0.9244598746299744,Phase 1
13,0.20432798564434052,0.19103924930095673,0.9703999757766724,0.7111111283302307,0.8375999927520752,0.5222222208976746,0.9976694583892822,0.9229784607887268,Phase 1
14,0.1995324343442917,0.1945260614156723,0.9711999893188477,0.699999988079071,0.8560000061988831,0.5444444417953491,0.998684823513031,0.9175153970718384,Phase 1
15,0.20083580911159515,0.1903146505355835,0.9735999703407288,0.7222222089767456,0.8479999899864197,0.5111111402511597,0.9982256889343262,0.9210802316665649,Phase 1
16,0.19573542475700378,0.19227515161037445,0.979200005531311,0.7111111283302307,0.8679999709129333,0.5444444417953491,0.9991001486778259,0.9189969301223755,Phase 1
17,0.19610869884490967,0.18785405158996582,0.9751999974250793,0.7333333492279053,0.8744000196456909,0.5888888835906982,0.9988820552825928,0.9282869696617126,Phase 1
18,0.19115538895130157,0.1893778294324875,0.9815999865531921,0.7111111283302307,0.8791999816894531,0.5,0.9995354413986206,0.9238580465316772,Phase 1
19,0.19046209752559662,0.18986783921718597,0.9832000136375427,0.7222222089767456,0.8888000249862671,0.5222222208976746,0.9993868470191956,0.9229167103767395,Phase 1
20,0.19094036519527435,0.19088299572467804,0.9815999865531921,0.7333333492279053,0.8863999843597412,0.5444444417953491,0.9993272423744202,0.9202931523323059,Phase 1
21,0.18747423589229584,0.187447652220726,0.9807999730110168,0.7222222089767456,0.9151999950408936,0.5333333611488342,0.999504566192627,0.9262962937355042,Phase 1
22,0.1863509714603424,0.18740946054458618,0.9887999892234802,0.7333333492279053,0.9136000275611877,0.5222222208976746,0.9997162818908691,0.9256327152252197,Phase 1
23,0.18477466702461243,0.19036981463432312,0.9904000163078308,0.7333333492279053,0.9128000140190125,0.5222222208976746,0.9998413920402527,0.9188733696937561,Phase 1
24,0.18443433940410614,0.19026575982570648,0.9887999892234802,0.699999988079071,0.9232000112533569,0.5444444417953491,0.9996756315231323,0.9200925827026367,Phase 1
25,0.18207061290740967,0.18886630237102509,0.9911999702453613,0.7111111283302307,0.9151999950408936,0.5222222208976746,0.9997977018356323,0.9224691390991211,Phase 1
26,0.18277020752429962,0.1866241842508316,0.9887999892234802,0.7111111283302307,0.9223999977111816,0.5444444417953491,0.9997860193252563,0.9264043569564819,Phase 1
27,0.18267107009887695,0.18828877806663513,0.9872000217437744,0.6777777671813965,0.920799970626831,0.5222222208976746,0.9997344613075256,0.9213272333145142,Phase 1
28,0.18176759779453278,0.18860173225402832,0.9887999892234802,0.7222222089767456,0.9240000247955322,0.5555555820465088,0.9995353817939758,0.9250770807266235,Phase 1
29,0.18187281489372253,0.1875811517238617,0.9896000027656555,0.699999988079071,0.925599992275238,0.5222222208976746,0.9993681311607361,0.9249536991119385,Phase 1
