epoch,loss,val_loss,accuracy,val_accuracy,recall,val_recall,auc,val_auc,phase
1,0.5793905854225159,0.22358936071395874,0.36559998989105225,0.6000000238418579,0.08399999886751175,0.1666666716337204,0.6770146489143372,0.8783024549484253,Phase 1
2,0.4130016565322876,0.21372121572494507,0.5863999724388123,0.6777777671813965,0.25839999318122864,0.21111111342906952,0.8601797819137573,0.8930400609970093,Phase 1
3,0.35980501770973206,0.21007902920246124,0.6863999962806702,0.6666666865348816,0.35040000081062317,0.3444444537162781,0.9108192920684814,0.8969752788543701,Phase 1
4,0.3266012668609619,0.20574545860290527,0.7376000285148621,0.699999988079071,0.4296000003814697,0.35555556416511536,0.938278079032898,0.9027777314186096,Phase 1
5,0.2997918128967285,0.19965457916259766,0.7832000255584717,0.7333333492279053,0.4943999946117401,0.4444444477558136,0.9576913118362427,0.9140585660934448,Phase 1
6,0.2810623049736023,0.2017768919467926,0.8335999846458435,0.6888889074325562,0.5496000051498413,0.4444444477558136,0.9686708450317383,0.9125771522521973,Phase 1
7,0.26565614342689514,0.20639464259147644,0.8568000197410583,0.699999988079071,0.6151999831199646,0.4444444477558136,0.9774609804153442,0.9010956883430481,Phase 1
8,0.25533369183540344,0.20150329172611237,0.876800000667572,0.7333333492279053,0.6503999829292297,0.5,0.9818677306175232,0.9089505672454834,Phase 1
9,0.24559415876865387,0.20389984548091888,0.9079999923706055,0.699999988079071,0.6976000070571899,0.47777777910232544,0.9858300089836121,0.9044289588928223,Phase 1
10,0.23587797582149506,0.20191644132137299,0.9192000031471252,0.7111111283302307,0.7128000259399414,0.5,0.9898656606674194,0.9102006554603577,Phase 1
11,0.227723628282547,0.20246760547161102,0.9296000003814697,0.699999988079071,0.7440000176429749,0.5,0.9924383163452148,0.9058950543403625,Phase 1
12,0.22143864631652832,0.20476432144641876,0.946399986743927,0.6777777671813965,0.774399995803833,0.5,0.9941698908805847,0.903641939163208,Phase 1
13,0.22060437500476837,0.20431528985500336,0.9383999705314636,0.6888889074325562,0.7815999984741211,0.4888888895511627,0.994684100151062,0.903533935546875,Phase 1
14,0.21551308035850525,0.19823996722698212,0.9488000273704529,0.7222222089767456,0.800000011920929,0.4888888895511627,0.9952858090400696,0.9122376441955566,Phase 1
15,0.20872561633586884,0.2062520533800125,0.9575999975204468,0.7333333492279053,0.8191999793052673,0.5,0.9968447685241699,0.9012962579727173,Phase 1
16,0.2090899646282196,0.1983550786972046,0.9616000056266785,0.7444444298744202,0.8240000009536743,0.5111111402511597,0.9967919588088989,0.9112346172332764,Phase 1
17,0.205274298787117,0.2009706050157547,0.9688000082969666,0.7444444298744202,0.8367999792098999,0.5,0.9971401691436768,0.9049999713897705,Phase 1
18,0.20055288076400757,0.2013266384601593,0.9751999974250793,0.7333333492279053,0.8511999845504761,0.5,0.998214840888977,0.9050771594047546,Phase 1
19,0.1993391066789627,0.19518230855464935,0.9703999757766724,0.7333333492279053,0.8528000116348267,0.4888888895511627,0.9987424612045288,0.9134413003921509,Phase 1
