epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7504000067710876,0.9380979537963867,0.4360709488391876,0.9425287246704102,0.3935999870300293,0.7333333492279053,0.9082099199295044,0.21062901616096497,0.8219178318977356,0.6666666865348816
1,0.909600019454956,0.9898967146873474,0.306095689535141,0.9854910969734192,0.7063999772071838,0.7444444298744202,0.9105092883110046,0.21882806718349457,0.8026315569877625,0.6777777671813965
2,0.9592000246047974,0.9975093603134155,0.26950329542160034,0.9931237697601318,0.8087999820709229,0.7333333492279053,0.9033487439155579,0.2249193787574768,0.8082191944122314,0.6555555462837219
3,0.9855999946594238,0.9993293881416321,0.2518447935581207,0.9972324967384338,0.864799976348877,0.7111111283302307,0.9089043140411377,0.21717920899391174,0.8082191944122314,0.6555555462837219
4,0.9904000163078308,0.9997768402099609,0.24296316504478455,1.0,0.8960000276565552,0.7222222089767456,0.9104012250900269,0.21291936933994293,0.8055555820465088,0.644444465637207
5,0.9968000054359436,0.9999619722366333,0.2361774444580078,1.0,0.920799970626831,0.7111111283302307,0.9114814400672913,0.21055714786052704,0.8194444179534912,0.6555555462837219
6,0.9968000054359436,0.9999567866325378,0.23423601686954498,1.0,0.9240000247955322,0.7111111283302307,0.9132716059684753,0.20898257195949554,0.8405796885490417,0.644444465637207
7,0.9968000054359436,0.9999799728393555,0.23172642290592194,1.0,0.9351999759674072,0.7222222089767456,0.9102160930633545,0.21098919212818146,0.8142856955528259,0.6333333253860474
8,0.995199978351593,0.9999440908432007,0.23273496329784393,0.9991445541381836,0.9344000220298767,0.7111111283302307,0.9125925898551941,0.20692479610443115,0.8055555820465088,0.644444465637207
9,1.0,0.9999986886978149,0.22965732216835022,1.0,0.9408000111579895,0.7111111283302307,0.9106789827346802,0.20874767005443573,0.8405796885490417,0.644444465637207
10,0.9991999864578247,0.9999935030937195,0.22765249013900757,1.0,0.9544000029563904,0.7111111283302307,0.907777726650238,0.20896337926387787,0.8235294222831726,0.6222222447395325
11,1.0,0.9999990463256836,0.2263856679201126,1.0,0.9624000191688538,0.7111111283302307,0.9056326746940613,0.20938490331172943,0.8235294222831726,0.6222222447395325
12,0.9991999864578247,0.999998927116394,0.2264716625213623,1.0,0.951200008392334,0.7111111283302307,0.9050000309944153,0.2076326608657837,0.8260869383811951,0.6333333253860474
13,1.0,1.0,0.2236679643392563,1.0,0.967199981212616,0.7111111283302307,0.908765435218811,0.20369242131710052,0.8358209133148193,0.6222222447395325
14,1.0,1.0,0.225042924284935,1.0,0.951200008392334,0.7111111283302307,0.9061111211776733,0.20511731505393982,0.8235294222831726,0.6222222447395325
15,1.0,0.9999995231628418,0.22292858362197876,1.0,0.9679999947547913,0.699999988079071,0.9068055748939514,0.20503783226013184,0.8059701323509216,0.6000000238418579
16,1.0,1.0,0.22281548380851746,1.0,0.9607999920845032,0.699999988079071,0.9081481695175171,0.20254585146903992,0.8181818127632141,0.6000000238418579
17,1.0,1.0,0.22191740572452545,1.0,0.9679999947547913,0.699999988079071,0.9101852178573608,0.20035679638385773,0.8333333134651184,0.6111111044883728
18,1.0,1.0,0.2217940241098404,1.0,0.972000002861023,0.699999988079071,0.9108333587646484,0.19922460615634918,0.8307692408561707,0.6000000238418579
19,1.0,1.0,0.22094665467739105,1.0,0.9703999757766724,0.6888889074325562,0.9111419916152954,0.19926753640174866,0.8333333134651184,0.6111111044883728
20,1.0,0.9999997615814209,0.22098669409751892,1.0,0.9711999893188477,0.699999988079071,0.9106018543243408,0.19912849366664886,0.8307692408561707,0.6000000238418579
21,1.0,1.0,0.221345454454422,1.0,0.9648000001907349,0.6888889074325562,0.9069598913192749,0.2009039968252182,0.8307692408561707,0.6000000238418579
22,1.0,1.0,0.22095532715320587,1.0,0.972000002861023,0.6888889074325562,0.9079938530921936,0.19979240000247955,0.8333333134651184,0.6111111044883728
23,1.0,1.0,0.2196909636259079,1.0,0.9775999784469604,0.6777777671813965,0.9083951115608215,0.19953028857707977,0.8181818127632141,0.6000000238418579
24,1.0,1.0,0.21956276893615723,1.0,0.9768000245094299,0.699999988079071,0.9097530841827393,0.19827675819396973,0.8181818127632141,0.6000000238418579
25,1.0,1.0,0.21966467797756195,1.0,0.9679999947547913,0.6888889074325562,0.908178985118866,0.19787845015525818,0.828125,0.5888888835906982
26,1.0,1.0,0.2187161147594452,1.0,0.9735999703407288,0.6888889074325562,0.9096450209617615,0.19689026474952698,0.841269850730896,0.5888888835906982
27,1.0,1.0,0.2185356616973877,1.0,0.9728000164031982,0.699999988079071,0.911882758140564,0.19558431208133698,0.84375,0.6000000238418579
28,1.0,1.0,0.2177736610174179,1.0,0.9807999730110168,0.699999988079071,0.9112962484359741,0.19536800682544708,0.8548387289047241,0.5888888835906982
29,1.0,1.0,0.21779921650886536,1.0,0.9815999865531921,0.699999988079071,0.9119907021522522,0.19465230405330658,0.8500000238418579,0.5666666626930237
30,1.0,1.0,0.21756574511528015,1.0,0.9775999784469604,0.699999988079071,0.9124228358268738,0.19391068816184998,0.8448275923728943,0.5444444417953491
31,1.0,1.0,0.21785485744476318,1.0,0.9815999865531921,0.699999988079071,0.9114660024642944,0.19425664842128754,0.8448275923728943,0.5444444417953491
32,1.0,1.0,0.21796484291553497,1.0,0.9760000109672546,0.7111111283302307,0.9114969372749329,0.19443105161190033,0.8448275923728943,0.5444444417953491
33,1.0,1.0,0.21678757667541504,1.0,0.9879999756813049,0.7111111283302307,0.9113733768463135,0.19445942342281342,0.8448275923728943,0.5444444417953491
34,1.0,1.0,0.2178093045949936,1.0,0.9760000109672546,0.7111111283302307,0.9105401039123535,0.19446660578250885,0.8448275923728943,0.5444444417953491
35,1.0,1.0,0.2174418419599533,1.0,0.9760000109672546,0.7111111283302307,0.9108024835586548,0.19437763094902039,0.859649121761322,0.5444444417953491
36,1.0,1.0,0.21759653091430664,1.0,0.9807999730110168,0.7111111283302307,0.9109259247779846,0.1943591833114624,0.859649121761322,0.5444444417953491
37,1.0,1.0,0.21731828153133392,1.0,0.9760000109672546,0.7111111283302307,0.9112037420272827,0.19430682063102722,0.859649121761322,0.5444444417953491
38,1.0,1.0,0.21697409451007843,1.0,0.9815999865531921,0.7111111283302307,0.9110031127929688,0.19425012171268463,0.859649121761322,0.5444444417953491
39,1.0,1.0,0.21737343072891235,1.0,0.9775999784469604,0.7111111283302307,0.9110802412033081,0.1942014843225479,0.859649121761322,0.5444444417953491
