epoch,loss,val_loss,accuracy,val_accuracy,recall,val_recall,auc,val_auc,phase
1,0.5028889179229736,0.21879245340824127,0.4320000112056732,0.6333333253860474,0.07440000027418137,0.24444444477558136,0.7505452632904053,0.883888840675354,Phase 1
2,0.36125102639198303,0.20505587756633759,0.6872000098228455,0.6777777671813965,0.31360000371932983,0.3444444537162781,0.9097012281417847,0.906358003616333,Phase 1
3,0.31700336933135986,0.2062385082244873,0.7608000040054321,0.6888889074325562,0.4352000057697296,0.4555555582046509,0.9451286792755127,0.9078395366668701,Phase 1
4,0.29185107350349426,0.2016054093837738,0.7960000038146973,0.6888889074325562,0.5184000134468079,0.4888888895511627,0.9613296985626221,0.9124536514282227,Phase 1
5,0.27145177125930786,0.19954851269721985,0.8479999899864197,0.7111111283302307,0.5703999996185303,0.5555555820465088,0.9737002849578857,0.9174691438674927,Phase 1
6,0.25177252292633057,0.20236602425575256,0.8776000142097473,0.7222222089767456,0.6528000235557556,0.5444444417953491,0.9829029440879822,0.9148765206336975,Phase 1
7,0.2370569407939911,0.20470362901687622,0.9136000275611877,0.699999988079071,0.7071999907493591,0.5222222208976746,0.9890925884246826,0.9118518829345703,Phase 1
8,0.23015274107456207,0.19812484085559845,0.920799970626831,0.7222222089767456,0.7319999933242798,0.5333333611488342,0.9911510944366455,0.9194753170013428,Phase 1
9,0.22177323698997498,0.19836042821407318,0.9431999921798706,0.7111111283302307,0.7752000093460083,0.5333333611488342,0.9931744933128357,0.9173764586448669,Phase 1
10,0.21502900123596191,0.200059175491333,0.9480000138282776,0.6888889074325562,0.7832000255584717,0.5333333611488342,0.9957433938980103,0.9154166579246521,Phase 1
11,0.2101985365152359,0.20167435705661774,0.9599999785423279,0.699999988079071,0.8087999820709229,0.5666666626930237,0.9970426559448242,0.9149690866470337,Phase 1
12,0.2077016830444336,0.20062357187271118,0.9607999920845032,0.7111111283302307,0.8167999982833862,0.5777778029441833,0.9970819354057312,0.9149845838546753,Phase 1
13,0.20842485129833221,0.19988416135311127,0.9567999839782715,0.7222222089767456,0.8127999901771545,0.5777778029441833,0.9964416027069092,0.914722204208374,Phase 1
14,0.20249564945697784,0.19919180870056152,0.9624000191688538,0.7222222089767456,0.8367999792098999,0.5555555820465088,0.9980677962303162,0.9139660596847534,Phase 1
15,0.19998428225517273,0.19656524062156677,0.9711999893188477,0.7555555701255798,0.8568000197410583,0.5777778029441833,0.9983642101287842,0.9182099103927612,Phase 1
16,0.19757211208343506,0.19648878276348114,0.974399983882904,0.7333333492279053,0.8600000143051147,0.5666666626930237,0.9982771873474121,0.9150925874710083,Phase 1
17,0.19765152037143707,0.2006986439228058,0.972000002861023,0.7333333492279053,0.8687999844551086,0.5666666626930237,0.9980388879776001,0.9076234698295593,Phase 1
18,0.1957598626613617,0.19650255143642426,0.974399983882904,0.7444444298744202,0.871999979019165,0.5555555820465088,0.9979532957077026,0.9118672609329224,Phase 1
19,0.19250406324863434,0.20025776326656342,0.9872000217437744,0.7555555701255798,0.8848000168800354,0.5555555820465088,0.9991961717605591,0.9057716131210327,Phase 1
20,0.1879577785730362,0.2005782425403595,0.9879999756813049,0.7333333492279053,0.8999999761581421,0.5555555820465088,0.9996124505996704,0.9024227857589722,Phase 1
21,0.18843743205070496,0.19737082719802856,0.9904000163078308,0.7444444298744202,0.8992000222206116,0.5666666626930237,0.9985948204994202,0.9100154638290405,Phase 1
22,0.18603552877902985,0.1953493356704712,0.9911999702453613,0.7555555701255798,0.9007999897003174,0.5777778029441833,0.999788224697113,0.9124536514282227,Phase 1
23,0.18719027936458588,0.1945963352918625,0.9872000217437744,0.7333333492279053,0.9103999733924866,0.5888888835906982,0.9992117285728455,0.9131635427474976,Phase 1
24,0.18482930958271027,0.19694891571998596,0.9872000217437744,0.7333333492279053,0.9039999842643738,0.6000000238418579,0.9997284412384033,0.9074382781982422,Phase 1
