epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9904000163078308,0.9995449781417847,0.23554494976997375,0.9965096116065979,0.9136000275611877,0.6777777671813965,0.9129475355148315,0.1957491934299469,0.8771929740905762,0.5555555820465088
1,0.9896000027656555,0.9997634887695312,0.23445065319538116,0.9982608556747437,0.91839998960495,0.6777777671813965,0.9136265516281128,0.19450393319129944,0.875,0.5444444417953491
2,0.995199978351593,0.9999351501464844,0.2315002679824829,1.0,0.9319999814033508,0.6777777671813965,0.9117129445075989,0.19601330161094666,0.8500000238418579,0.5666666626930237
3,0.9959999918937683,0.9999865293502808,0.22731943428516388,1.0,0.9480000138282776,0.6888889074325562,0.9160956740379333,0.193649560213089,0.8474576473236084,0.5555555820465088
4,0.9959999918937683,0.9999306797981262,0.22876033186912537,0.9991467595100403,0.9368000030517578,0.6888889074325562,0.9140586853027344,0.19406041502952576,0.8620689511299133,0.5555555820465088
5,0.995199978351593,0.9998823404312134,0.22669389843940735,0.999162495136261,0.9544000029563904,0.6888889074325562,0.9161882400512695,0.1914728432893753,0.8620689511299133,0.5555555820465088
6,0.9927999973297119,0.9998798370361328,0.226957768201828,0.99915611743927,0.9472000002861023,0.6666666865348816,0.9168981313705444,0.19148039817810059,0.8474576473236084,0.5555555820465088
7,0.9991999864578247,0.9999946355819702,0.2253515124320984,1.0,0.9495999813079834,0.6777777671813965,0.9146450757980347,0.19224348664283752,0.8620689511299133,0.5555555820465088
8,0.9991999864578247,0.999983549118042,0.22477194666862488,1.0,0.9552000164985657,0.6888889074325562,0.9139660596847534,0.19371962547302246,0.8421052694320679,0.5333333611488342
9,0.9936000108718872,0.9999121427536011,0.22495022416114807,0.9991652965545654,0.9575999975204468,0.6888889074325562,0.9174691438674927,0.19251611828804016,0.8666666746139526,0.5777778029441833
10,0.9976000189781189,0.9999948740005493,0.22217848896980286,1.0,0.9599999785423279,0.699999988079071,0.9209104776382446,0.18952438235282898,0.859649121761322,0.5444444417953491
11,0.995199978351593,0.9999440312385559,0.22493217885494232,1.0,0.9559999704360962,0.6888889074325562,0.9180401563644409,0.1910330057144165,0.8620689511299133,0.5555555820465088
12,0.9991999864578247,0.9999978542327881,0.22156710922718048,1.0,0.9607999920845032,0.6777777671813965,0.9211419224739075,0.1894773542881012,0.8727272748947144,0.5333333611488342
13,0.9983999729156494,0.999994695186615,0.22147023677825928,1.0,0.9639999866485596,0.6888889074325562,0.9203086495399475,0.1901402771472931,0.8571428656578064,0.5333333611488342
14,0.9983999729156494,0.9999898672103882,0.22076569497585297,1.0,0.9679999947547913,0.699999988079071,0.9208024740219116,0.18858779966831207,0.8888888955116272,0.5333333611488342
15,0.9983999729156494,0.9999823570251465,0.22159264981746674,1.0,0.9616000056266785,0.6666666865348816,0.9220525026321411,0.18829120695590973,0.875,0.5444444417953491
16,0.9991999864578247,0.9999954104423523,0.2181352823972702,1.0,0.974399983882904,0.6777777671813965,0.9201851487159729,0.1886242926120758,0.8474576473236084,0.5555555820465088
17,0.9991999864578247,0.9999951124191284,0.21927817165851593,1.0,0.9679999947547913,0.6888889074325562,0.920771598815918,0.18801045417785645,0.8727272748947144,0.5333333611488342
18,0.9991999864578247,0.9999986290931702,0.218576118350029,1.0,0.9688000082969666,0.6888889074325562,0.9232252836227417,0.18649739027023315,0.859649121761322,0.5444444417953491
19,0.9991999864578247,0.9999986886978149,0.2186780571937561,1.0,0.967199981212616,0.699999988079071,0.9247221946716309,0.18557286262512207,0.875,0.5444444417953491
20,0.9991999864578247,0.9999996423721313,0.2175610363483429,1.0,0.9711999893188477,0.699999988079071,0.9253240823745728,0.185788094997406,0.8305084705352783,0.5444444417953491
21,0.9968000054359436,0.9999847412109375,0.2201591581106186,1.0,0.9624000191688538,0.699999988079071,0.9231019020080566,0.18621335923671722,0.859649121761322,0.5444444417953491
22,0.9991999864578247,0.9999998211860657,0.21784192323684692,1.0,0.967199981212616,0.7111111283302307,0.9241974949836731,0.18613556027412415,0.875,0.5444444417953491
